date_range.date_start.year,date_range.date_start.month,date_range.date_start.day,date_range.date_end.year,date_range.date_end.month,date_range.date_end.day,place.address.ori_address,place.address.country,place.address.state,place.address.city,place.address.postcode,place.ori_dbid.$oid,place.label,place._class_ori,place._class,place.geo_coord.latitude,place.geo_coord.longitude,artist,artist_ori_dbid,place.address.suburb,ori_dbid,no_of_events,new_venue_name_x,new_venue_name_y,total_no_of_events,venue_name,venue_category_minor,venue_category_major,State
1972,5,4,1972,6,4,"Perth, Western Australia",Australia,Western Australia,Perth,Unknown,4eeb1f87d707ff5b26000003,The Western Australian Art Gallery,place,place,,,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,,,,,,,,,
1972,10,16,1972,10,29,"Australian National Gallery, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da19591b538b73d93004990,,place,place,-35.30053,149.136282,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,4da19591b538b73d93004990,12.0,"National Gallery of Australia, Canberra, ACT","National Gallery of Australia, Canberra, ACT",148.0,"National Gallery of Australia, Canberra, ACT",National Institution,Government / Public Museum ,ACT
1972,7,4,1972,8,4,"National Gallery of Victoria, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da1955cb538b73d9300373a,,place,place,-37.8225355,144.9691134,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,4da1955cb538b73d9300373a,76.0,"National Gallery of Victoria, Melbourne, VIC","National Gallery of Victoria, Melbourne, VIC",243.0,"National Gallery of Victoria, Melbourne, VIC",State Gallery / Library,Government / Public Museum ,VIC
1973,3,1,1973,4,1,"Queensland Art Gallery, Brisbane, Queensland",Australia,Queensland,Brisbane,4101,4da19511b538b73d930014c8,,place,place,-27.4720964,153.0181735,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,4da19511b538b73d930014c8,12.0,"Queensland Art Gallery, Brisbane, QLD","Queensland Art Gallery, Brisbane, QLD",221.0,"Queensland Art Gallery, Brisbane, QLD",State Gallery / Library,Government / Public Museum ,QLD
1995,8,14,1996,2,11,"State Library of New South Wales, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da194ffb538b73d93000b90,,place,place,-33.866754,151.212784,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,4da194ffb538b73d93000b90,19.0,"State Library of NSW, Sydney, NSW","State Library of NSW, Sydney, NSW",25.0,"State Library of NSW, Sydney, NSW",State Gallery / Library,Government / Public Museum ,NSW
,,,,,,"London, England, United Kingdom",United Kingdom,England,London,SW1P 3JX,4da194f7b538b73d9300068e,,place,place,51.5001524,-0.1262362,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,,,,,,,,,
2007,1,1,2009,1,1,"National Gallery of Australia, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da19511b538b73d9300150b,,place,place,-35.30053,149.136282,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,4da19511b538b73d9300150b,127.0,"National Gallery of Australia, Canberra, ACT","National Gallery of Australia, Canberra, ACT",148.0,"National Gallery of Australia, Canberra, ACT",National Institution,Government / Public Museum ,ACT
2011,10,20,2012,12,15,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, Western Australia",Australia,Western Australia,Perth,6009,4da1a7fcb538b73d9301a5ec,,place,place,-31.9796122,115.8185563,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,4da1a7fcb538b73d9301a5ec,41.0,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA","Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA",51.0,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA",University Gallery,University Gallery,WA
1943,10,13,1943,10,25,"Macquarie Galleries, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19504b538b73d93000dfa,,place,place,-33.8689009,151.2070914,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,4da19504b538b73d93000dfa,108.0,"Macquarie Galleries, Sydney, NSW","Macquarie Galleries, Sydney, NSW",108.0,"Macquarie Galleries, Sydney, NSW",Commercial,Commercial,NSW
1975,9,2,1975,9,27,"Melbourne University, Ewing and George Paton Gallery, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da1b023b538b73d9301dcba,,place,place,-37.8131869,144.9629796,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,,,,,,,,,
2011,10,20,2012,12,15,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, Western Australia",Australia,Western Australia,Perth,6009,4da1a7fcb538b73d9301a5ec,,place,place,-31.9796122,115.8185563,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,4da1a7fcb538b73d9301a5ec,41.0,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA","Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA",51.0,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA",University Gallery,University Gallery,WA
1995,3,8,1995,6,8,"Art Gallery of New South Wales, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1950db538b73d930011bc,,place,place,-33.8686268,151.2170618,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,4da1950db538b73d930011bc,509.0,"Art Gallery of New South Wales, Sydney, NSW","Art Gallery of New South Wales, Sydney, NSW",585.0,"Art Gallery of New South Wales, Sydney, NSW",State Gallery / Library,Government / Public Museum ,NSW
1995,3,8,,,,"Artarmon, New South Wales",Australia,New South Wales,Sydney,2064,5420dd18d707ff1912000036,Angeloro Fine Art Galleries,place,place,-33.808859,151.1847951,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",Artarmon,,,,,,,,,
,,,,,,"Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da194f4b538b73d930005f4,,place,place,-33.8689009,151.2070914,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,,,,,,,,,
1977,10,15,1977,11,13,"Art Gallery of New South Wales, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1950db538b73d930011bc,,place,place,-33.8686268,151.2170618,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,4da1950db538b73d930011bc,509.0,"Art Gallery of New South Wales, Sydney, NSW","Art Gallery of New South Wales, Sydney, NSW",585.0,"Art Gallery of New South Wales, Sydney, NSW",State Gallery / Library,Government / Public Museum ,NSW
2000,11,24,2001,2,25,"Art Gallery of South Australia, Adelaide, South Australia",Australia,South Australia,Adelaide,5000,4da194f7b538b73d930006f6,,place,place,-34.920638,138.603939,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,4da194f7b538b73d930006f6,109.0,"Art Gallery of South Australia, Adelaide, SA","Art Gallery of South Australia, Adelaide, SA",115.0,"Art Gallery of South Australia, Adelaide, SA",State Gallery / Library,Government / Public Museum ,SA
,,,,,,"Burlington House, Piccadilly, London, England, United Kingdom",United Kingdom,England,London,SW1P 3JX,4da1950db538b73d9300117c,,place,place,51.5001524,-0.1262362,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,,,,,,,,,
1995,3,8,1995,1,1,"Woolloomooloo Gallery, Woolloomooloo, Sydney, New South Wales",Australia,New South Wales,Sydney,2011,4da1a1d3b538b73d93017ca2,,place,place,-33.869235,151.2201715,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",Woolloomooloo,,,,,,,,,
1995,2,24,1995,4,2,"S.H. Ervin Gallery, National Trust of Australia (New South Wales), Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19ab0b538b73d93010f1a,,place,place,-33.8689009,151.2070914,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,,,,,,,,,
1928,1,1,1928,1,1,"Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da194f4b538b73d930005f4,,place,place,-33.8689009,151.2070914,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,,,,,,,,,
1946,8,4,1946,8,18,"National Art Gallery of NSW, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19b82b538b73d93012076,,place,place,-33.8689009,151.2070914,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,,,,,,,,,
1995,3,10,1995,5,28,"Benalla Art Gallery, Benalla, Victoria",Australia,Victoria,,3672,4da1997eb538b73d9300f501,,place,place,-36.5514956,145.9817019,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,,,,,,,,,
1994,4,15,1994,7,17,"Art Gallery of South Australia, Adelaide, South Australia",Australia,South Australia,Adelaide,5000,4da194f7b538b73d930006f6,,place,place,-34.920638,138.603939,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",,4da194f7b538b73d930006f6,109.0,"Art Gallery of South Australia, Adelaide, SA","Art Gallery of South Australia, Adelaide, SA",115.0,"Art Gallery of South Australia, Adelaide, SA",State Gallery / Library,Government / Public Museum ,SA
1995,4,5,1995,4,23,"Bendigo Art Gallery, Bendigo, Victoria",Australia,Victoria,Greater Bendigo,3550,4da195bfb538b73d9300590a,,place,place,-36.7587112,144.2837459,"""Margaret Preston""","{""$oid"": ""4da19f27b538b73d93015e55""}",Bendigo,4da195bfb538b73d9300590a,13.0,"Bendigo Art Gallery, Bendigo, VIC","Bendigo Art Gallery, Bendigo, VIC",22.0,"Bendigo Art Gallery, Bendigo, VIC",Local Government and/or Regional Gallery,Government / Public Museum ,VIC
1995,3,1,1995,4,1,"National Gallery of Australia, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da19511b538b73d9300150b,,place,place,-35.30053,149.136282,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da19511b538b73d9300150b,127.0,"National Gallery of Australia, Canberra, ACT","National Gallery of Australia, Canberra, ACT",148.0,"National Gallery of Australia, Canberra, ACT",National Institution,Government / Public Museum ,ACT
1907,1,1,1907,1,1,"London, England, United Kingdom",United Kingdom,England,London,SW1P 3JX,4da194f7b538b73d9300068e,,place,place,51.5001524,-0.1262362,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
2015,3,27,2015,6,14,"Bathurst Regional Art Gallery, Bathurst, New South Wales",Australia,New South Wales,Bathurst,2795,4da19732b538b73d9300a5ee,,place,place,-33.4222939,149.5798798,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da19732b538b73d9300a5ee,22.0,"Bathurst Regional Art Gallery, Bathurst, NSW","Bathurst Regional Art Gallery, Bathurst, NSW",25.0,"Bathurst Regional Art Gallery, Bathurst, NSW",Local Government and/or Regional Gallery,Government / Public Museum ,NSW
1935,1,1,1938,1,1,"Macquarie Galleries, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19504b538b73d93000dfa,,place,place,-33.8689009,151.2070914,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da19504b538b73d93000dfa,108.0,"Macquarie Galleries, Sydney, NSW","Macquarie Galleries, Sydney, NSW",108.0,"Macquarie Galleries, Sydney, NSW",Commercial,Commercial,NSW
1995,8,14,1996,2,11,"State Library of New South Wales, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da194ffb538b73d93000b90,,place,place,-33.866754,151.212784,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da194ffb538b73d93000b90,19.0,"State Library of NSW, Sydney, NSW","State Library of NSW, Sydney, NSW",25.0,"State Library of NSW, Sydney, NSW",State Gallery / Library,Government / Public Museum ,NSW
1995,4,5,1995,4,23,"Bendigo Art Gallery, Bendigo, Victoria",Australia,Victoria,Greater Bendigo,3550,4da195bfb538b73d9300590a,,place,place,-36.7587112,144.2837459,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",Bendigo,4da195bfb538b73d9300590a,13.0,"Bendigo Art Gallery, Bendigo, VIC","Bendigo Art Gallery, Bendigo, VIC",22.0,"Bendigo Art Gallery, Bendigo, VIC",Local Government and/or Regional Gallery,Government / Public Museum ,VIC
1943,10,13,1943,10,25,"Macquarie Galleries, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19504b538b73d93000dfa,,place,place,-33.8689009,151.2070914,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da19504b538b73d93000dfa,108.0,"Macquarie Galleries, Sydney, NSW","Macquarie Galleries, Sydney, NSW",108.0,"Macquarie Galleries, Sydney, NSW",Commercial,Commercial,NSW
1995,3,5,1995,4,30,"Castlemaine Art Gallery and Historical Museum, Castlemaine, Victoria",Australia,Victoria,,3450,4da1bcfdb538b73d93023918,,place,place,-37.0644398,144.2172001,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
1958,7,22,1958,8,1,"Sydney, New South Wales",Australia,New South Wales,Sydney,2000,564e546fd707ff25f4000000,Bissietta Art Gallery,place,place,-33.8674869,151.2069902,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
1982,10,2,1982,10,31,"Milsons Point, New South Wales",Australia,New South Wales,Sydney,2061,59251e86d707ff101100006c,Mavis Chapman Gallery,place,place,-33.84765,151.21201,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",Milsons Point,,,,,,,,,
,,,,,,,,,,,,,,,,,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
1995,3,9,1995,6,1,"Newcastle Region Art Gallery, Newcastle, New South Wales",Australia,New South Wales,Newcastle,2300,4da19550b538b73d930031af,,place,place,-32.9292054,151.7729731,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da19550b538b73d930031af,116.0,"Newcastle Region Art Gallery, Newcastle, NSW","Newcastle Region Art Gallery, Newcastle, NSW",134.0,"Newcastle Region Art Gallery, Newcastle, NSW",Local Government and/or Regional Gallery,Government / Public Museum ,NSW
1908,5,14,1908,10,31,"Shepherd's Bush, London, England, United Kingdom",United Kingdom,England,London,W12 0TZ,4da19560b538b73d93003895,,place,place,51.515972,-0.237457,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
,,,,,,"Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da194f4b538b73d930005f4,,place,place,-33.8689009,151.2070914,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
1907,1,1,1907,1,1,"Exhibition Building, Melbourne, Victoria",Australia,Victoria,Melbourne,3053,4da1958bb538b73d93004787,,place,place,-37.8032107,144.9738336,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da1958bb538b73d93004787,2.0,"Royal Exhibition Building, Melbourne, VIC","Royal Exhibition Building, Melbourne, VIC",29.0,"Royal Exhibition Building, Melbourne, VIC",ARI or Independent,ARI or Indpendent ,VIC
1995,3,10,1995,5,28,"Benalla Art Gallery, Benalla, Victoria",Australia,Victoria,,3672,4da1997eb538b73d9300f501,,place,place,-36.5514956,145.9817019,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
1927,10,10,1927,10,10,"New Gallery, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da19fb8b538b73d9301652a,,place,place,-37.8131869,144.9629796,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
1928,1,1,1928,1,1,"Burdekin House, Macquarie Street, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19fb8b538b73d93016526,,place,place,-33.8629967,151.2129236,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
1995,3,8,1995,4,25,"National Gallery of Australia, Canberra, Australian Capital Territory (and touring)",Australia,Australian Capital Territory,Canberra,2600,4da195e0b538b73d930061c9,,place,place,-35.30053,149.136282,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da195e0b538b73d930061c9,4.0,"National Gallery of Australia, Canberra, ACT","National Gallery of Australia, Canberra, ACT",148.0,"National Gallery of Australia, Canberra, ACT",National Institution,Government / Public Museum ,ACT
2005,1,1,2005,1,1,"National Portrait Gallery, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da1952bb538b73d930022de,,place,place,-35.3080556,149.1244444,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
1941,1,1,1941,1,1,"Macquarie Galleries, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19504b538b73d93000dfa,,place,place,-33.8689009,151.2070914,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da19504b538b73d93000dfa,108.0,"Macquarie Galleries, Sydney, NSW","Macquarie Galleries, Sydney, NSW",108.0,"Macquarie Galleries, Sydney, NSW",Commercial,Commercial,NSW
1995,2,16,1995,3,13,"PICA (Perth Institute of Contemporary Arts), Western Australia",Australia,Western Australia,Perth,Unknown,4da1c919b538b73d9302676a,,place,place,47.7510741,-120.7401386,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
1975,9,2,1975,9,27,"Melbourne University, Ewing and George Paton Gallery, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da1b023b538b73d9301dcba,,place,place,-37.8131869,144.9629796,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
1925,1,1,1925,1,1,"Grosvenor Galleries, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19541b538b73d93002c75,,place,place,-33.8689009,151.2070914,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
1995,3,8,,,,"Artarmon, New South Wales",Australia,New South Wales,Sydney,2064,5420dd18d707ff1912000036,Angeloro Fine Art Galleries,place,place,-33.808859,151.1847951,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",Artarmon,,,,,,,,,
1977,10,15,1977,11,13,"Art Gallery of New South Wales, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1950db538b73d930011bc,,place,place,-33.8686268,151.2170618,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da1950db538b73d930011bc,509.0,"Art Gallery of New South Wales, Sydney, NSW","Art Gallery of New South Wales, Sydney, NSW",585.0,"Art Gallery of New South Wales, Sydney, NSW",State Gallery / Library,Government / Public Museum ,NSW
1995,2,24,1995,4,2,"S.H. Ervin Gallery, National Trust of Australia (New South Wales), Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19ab0b538b73d93010f1a,,place,place,-33.8689009,151.2070914,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
1960,8,31,1960,9,9,"David Jones Art Gallery, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19647b538b73d93007c0b,,place,place,-33.8689009,151.2070914,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da19647b538b73d93007c0b,26.0,"David Jones Art Gallery, Sydney, NSW","David Jones Art Gallery, Sydney, NSW",46.0,"David Jones Art Gallery, Sydney, NSW",Commercial,Commercial,NSW
1946,8,4,1946,8,18,"National Art Gallery of NSW, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19b82b538b73d93012076,,place,place,-33.8689009,151.2070914,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
1912,1,1,1912,1,1,Venice,Italy,Veneto,Venice,30170,4da1957eb538b73d9300429a,,place,place,45.4343363,12.3387844,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
1965,1,1,1965,1,1,,,,,,,,,,,,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,,,,,,,,,
1932,1,1,1932,1,1,"Macquarie Galleries, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19504b538b73d93000dfa,,place,place,-33.8689009,151.2070914,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da19504b538b73d93000dfa,108.0,"Macquarie Galleries, Sydney, NSW","Macquarie Galleries, Sydney, NSW",108.0,"Macquarie Galleries, Sydney, NSW",Commercial,Commercial,NSW
2011,10,20,2012,12,15,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, Western Australia",Australia,Western Australia,Perth,6009,4da1a7fcb538b73d9301a5ec,,place,place,-31.9796122,115.8185563,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da1a7fcb538b73d9301a5ec,41.0,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA","Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA",51.0,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA",University Gallery,University Gallery,WA
1995,8,4,1995,8,5,"Mary Place Gallery, Paddington, New South Wales",Australia,New South Wales,Sydney,2021,4da1b640b538b73d93020041,,place,place,-33.8846107,151.2265861,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",Paddington,4da1b640b538b73d93020041,8.0,"Mary Place Gallery, Paddington, NSW","Mary Place Gallery, Paddington, NSW",25.0,"Mary Place Gallery, Paddington, NSW",Commercial,Commercial,NSW
2000,11,24,2001,2,25,"Art Gallery of South Australia, Adelaide, South Australia",Australia,South Australia,Adelaide,5000,4da194f7b538b73d930006f6,,place,place,-34.920638,138.603939,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da194f7b538b73d930006f6,109.0,"Art Gallery of South Australia, Adelaide, SA","Art Gallery of South Australia, Adelaide, SA",115.0,"Art Gallery of South Australia, Adelaide, SA",State Gallery / Library,Government / Public Museum ,SA
1995,3,8,1995,6,8,"Art Gallery of New South Wales, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1950db538b73d930011bc,,place,place,-33.8686268,151.2170618,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da1950db538b73d930011bc,509.0,"Art Gallery of New South Wales, Sydney, NSW","Art Gallery of New South Wales, Sydney, NSW",585.0,"Art Gallery of New South Wales, Sydney, NSW",State Gallery / Library,Government / Public Museum ,NSW
1982,10,1,1982,10,31,"Art Gallery of New South Wales, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19809b538b73d9300c919,,place,place,-33.8686268,151.2170618,"""Thea Proctor""","{""$oid"": ""4da19fd3b538b73d9301654c""}",,4da19809b538b73d9300c919,7.0,"Art Gallery of New South Wales, Sydney, NSW","Art Gallery of New South Wales, Sydney, NSW",585.0,"Art Gallery of New South Wales, Sydney, NSW",State Gallery / Library,Government / Public Museum ,NSW
,,,,,,"Centre for Aboriginal Artists, Alice Springs, Northern Territory",Australia,Northern Territory,Alice Springs,0870,4da19513b538b73d9300164f,,place,place,-23.7002104,133.8806114,"""Angelina Nala Pwerle""","{""$oid"": ""4da19ffbb538b73d930167e2""}",,,,,,,,,,
1991,1,1,1991,1,1,"Utopia Art, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da199c7b538b73d9300fab0,,place,place,-33.8689009,151.2070914,"""Angelina Nala Pwerle""","{""$oid"": ""4da19ffbb538b73d930167e2""}",,,,,,,,,,
2001,1,1,2001,1,1,"Sammlung Essl, Vienna, Austria",Austria,Vienna,Vienna,3400,4da19ff4b538b73d930167dd,,place,place,48.3018811,16.3335687,"""Angelina Nala Pwerle""","{""$oid"": ""4da19ffbb538b73d930167e2""}",,,,,,,,,,
1993,1,1,1993,1,1,"Museum of Contemporary Art, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da198b6b538b73d9300def3,,place,place,-33.860064,151.208954,"""Angelina Nala Pwerle""","{""$oid"": ""4da19ffbb538b73d930167e2""}",,4da198b6b538b73d9300def3,106.0,"Museum of Contemporary Art, Sydney, NSW","Museum of Contemporary Art, Sydney, NSW",106.0,"Museum of Contemporary Art, Sydney, NSW",Public Independent,Government / Public Museum ,NSW
2005,1,1,2005,1,1,"Niagara Galleries, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da1950db538b73d930011b8,,place,place,-37.8131869,144.9629796,"""Angelina Nala Pwerle""","{""$oid"": ""4da19ffbb538b73d930167e2""}",,,,,,,,,,
2007,10,1,2007,10,31,Auckland,United Kingdom,England,Kirklees,Unknown,4e8e95bad707ff449100001e,Jensen Gallery,place,place,,,"""Jude Rae""","{""$oid"": ""4da1a049b538b73d93016a4a""}",,,,,,,,,,
2002,7,1,2002,8,1,Auckland,United Kingdom,England,Kirklees,Unknown,4e8e95bad707ff449100001e,Jensen Gallery,place,place,,,"""Jude Rae""","{""$oid"": ""4da1a049b538b73d93016a4a""}",,,,,,,,,,
2011,9,6,2011,10,10,"3-5 caledonia St, Paddington, Sydney, New South Wales",Australia,New South Wales,Sydney,2021,4e8e87ffd707ff44f5000016,Jensen Gallery,place,place,-33.8862739,151.2324149,"""Jude Rae""","{""$oid"": ""4da1a049b538b73d93016a4a""}",Paddington,,,,,,,,,
2011,8,16,2011,8,26,"Cnr McColl and Roxburgh St, Newmarket, Auckland",New Zealand,Auckland Region,Auckland,1023,4e8e89dad707ff2224000026,Fox/ Jensen gallery,place,place,-36.8678252,174.7734676,"""Jude Rae""","{""$oid"": ""4da1a049b538b73d93016a4a""}",,,,,,,,,,
2005,2,8,2005,3,30,Auckland,United Kingdom,England,Kirklees,Unknown,4e8e95bad707ff449100001e,Jensen Gallery,place,place,,,"""Jude Rae""","{""$oid"": ""4da1a049b538b73d93016a4a""}",,,,,,,,,,
2000,9,27,2000,10,21,"Gitte Weise Galleries, Paddington, New South Wales",Australia,New South Wales,Sydney,2021,4da19a18b538b73d930101a2,,place,place,-33.8846107,151.2265861,"""Jude Rae""","{""$oid"": ""4da1a049b538b73d93016a4a""}",Paddington,,,,,,,,,
2004,8,10,2004,8,31,Auckland,United Kingdom,England,Kirklees,Unknown,4e8e95bad707ff449100001e,Jensen Gallery,place,place,,,"""Jude Rae""","{""$oid"": ""4da1a049b538b73d93016a4a""}",,,,,,,,,,
2005,7,1,2005,7,31,Auckland,United Kingdom,England,Kirklees,Unknown,4e8e95bad707ff449100001e,Jensen Gallery,place,place,,,"""Jude Rae""","{""$oid"": ""4da1a049b538b73d93016a4a""}",,,,,,,,,,
2006,4,1,2006,4,30,Auckland,United Kingdom,England,Kirklees,Unknown,4e8e95bad707ff449100001e,Jensen Gallery,place,place,,,"""Jude Rae""","{""$oid"": ""4da1a049b538b73d93016a4a""}",,,,,,,,,,
2009,3,31,2009,4,17,Auckland,United Kingdom,England,Kirklees,Unknown,4e8e95bad707ff449100001e,Jensen Gallery,place,place,,,"""Jude Rae""","{""$oid"": ""4da1a049b538b73d93016a4a""}",,,,,,,,,,
2010,10,12,2010,11,13,Auckland,United Kingdom,England,Kirklees,Unknown,4e8e95bad707ff449100001e,Jensen Gallery,place,place,,,"""Jude Rae""","{""$oid"": ""4da1a049b538b73d93016a4a""}",,,,,,,,,,
2000,11,24,2001,2,25,"Art Gallery of South Australia, Adelaide, South Australia",Australia,South Australia,Adelaide,5000,4da194f7b538b73d930006f6,,place,place,-34.920638,138.603939,"""Hilda Rix Nicholas""","{""$oid"": ""4da1a11fb538b73d9301726e""}",,4da194f7b538b73d930006f6,109.0,"Art Gallery of South Australia, Adelaide, SA","Art Gallery of South Australia, Adelaide, SA",115.0,"Art Gallery of South Australia, Adelaide, SA",State Gallery / Library,Government / Public Museum ,SA
