Artist Name and Link to Know My Name Exhibition Page,Collective/Individual,First Nations People Group (from Know My Name only),Place of Birth (First Nations Language),Place of Birth (Anglophone),State of Birth,Country of Birth,Place of Birth Latitude,Place of Birth Longitude,Year of Birth,Date of Birth,Place of Death (Indigenous),Place of Death (Anglophone),State of Death,Country of Death,Place of Death Latitude,Place of Death Longitude,Year of Death,Date of Death,Link to DAAO,In DAAO Selected Biographical Dataset,Link to AWR,Link to NLA,Multiple NLA,Missing NLA,,,
"Fahd, Cherine",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1974,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/cherine-fahd/,Y,,https://trove.nla.gov.au/people/1543790,N,N,,,
"Featherston, Mary",Individual,,N/A,"Shirley, London",England,United Kingdom,51.3749243,-0.0466335,1943,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/mary-featherstone/,N,,https://trove.nla.gov.au/people/1524853,N,N,,,
"Ferran, Anne",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1949,10/5/1949,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/anne-ferran/,Y,,https://trove.nla.gov.au/people/500511,N,N,,,
"Ferrier, Tania",Individual,,Boorloo,Perth,WA,Australia,-31.9558933,115.8605855,1958,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/tania-ferrier/,N,,https://trove.nla.gov.au/people/1480651,N,N,,,
"Fieldhouse, Janet",Individual,Kalawlagawya/Meriam Mir People,Gimuy,Cairns,QLD,Australia,-16.9206657,145.7721854,1971,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/1861194,N,N,,,
Flamingo Park,Collective,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1973,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348240446,1992,,https://www.daao.org.au/bio/jenny-kee-2/,Y,,[Not in NLA],N,Y,,,
"Floyd, Emily",,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1972,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Foley, Fiona",Individual,Badtjala People,Badtjala Land,Maryborough,QLD,Australia,-25.537583,152.7019182,1964,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/fiona-foley/,Y,,"https://trove.nla.gov.au/people/509846
https://trove.nla.gov.au/people/1567205
https://trove.nla.gov.au/people/1547218",Y,N,,,
"Ford, Sue",Individual,,Euroe Yroke,St Kilda,VIC,Australia,-37.8638261,144.981637,1943,19/3/1943,Boonwurrung Land,Balaclava,VIC,Australia,-37.8702943,144.9947414,2009,6/11/2009,https://www.daao.org.au/bio/sue-ford/,Y,,https://trove.nla.gov.au/people/824623,N,N,,,
"Foreshew, Nicole",Individual,Wiradjuri People,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1982,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/1865545,N,N,,,
"Fraser, Virginia",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1947,28/12/1947,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,2021,26/1/2021,https://www.daao.org.au/bio/virginia-fraser/,N,,"https://trove.nla.gov.au/people/1505045
https://trove.nla.gov.au/people/1523381",Y,N,,,
"Fullard, Corrie",Individual,Pakana People,,Flinders Island,TAS,Australia,-39.9967743,148.089437,1931,,Muwinina Land,Glenorchy,TAS,Australia,-42.8292585,147.23473445132737,2023,19/5/2023,https://www.daao.org.au/bio/corrie-fullard/,Y,,https://trove.nla.gov.au/people/1487320,N,N,,,
"Funaki, Mari",Individual,,N/A,Matsue,Shimane,Japan,35.468115,133.048768,1950,,Naarm,East Melbourne,VIC,Australia,-37.812498,144.9858851,2010,13/5/2010,[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Gabori, Mirdidingkingathi Juwarnda Sally",Individual,Kayardild/Kaiadilt People,Dulka Warngiid,Bentinck Island,NT,Australia,-19.488357,133.438712,1924,,Gununa,Mornington Island,QLD,Australia,-16.5625647,139.34064086040513,2015,12/2/2015,https://www.daao.org.au/bio/sally-gabori/,N,,https://trove.nla.gov.au/people/1486002,N,N,,,
Garage Graphix,Collective,,Gadigal Land,Mount Druitt,NSW,Australia,-33.7705556,150.8205556,1981,,Gadigal Land,Mount Druitt,NSW,Australia,-33.7705556,150.8205556,1998,,[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Gascoigne, Rosalie",Individual,,Tāmaki Makaurau,Auckland,,New Zealand,-36.852095,174.7631803,1917,25/1/1917,Ngambri Land,Canberra,ACT,Australia,-35.2975906,149.1012676,1999,25/10/1999,https://www.daao.org.au/bio/rosalie-gascoigne/,Y,https://www.womenaustralia.info/biogs/AWE4892b.htm,https://trove.nla.gov.au/people/636486,N,N,,,
"Gazzard, Marea",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1928,2/6/1928,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348240446,2013,28/10/2013,https://www.daao.org.au/bio/marea-gazzard-1/,Y,,https://trove.nla.gov.au/people/507907,N,N,,,
"Georgetti, Diena",Individual,,Meanjin/Mparntwe,Brisbane/Alice Springs,QLD/NT,Australia,-23.672475,133.886851,1966,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/diena-georgetti/,N,,https://trove.nla.gov.au/people/549496,N,N,,,
"Gill, Simryn",Individual,,N/A,Singapore,,Singapore,1.2899175,103.8519072,1959,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/simryn-gill/,Y,,https://trove.nla.gov.au/people/1484598,N,N,,,
"Godden, Christine",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1947,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/christine-godden/,N,,https://trove.nla.gov.au/people/612726,N,N,,,
"Gojak, Mira",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231,1963,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/mira-gojak/,Y,,https://trove.nla.gov.au/people/608556,N,N,,,
"Goldin, Nan",Individual,,Anacostan Land,Washington,DC,USA,38.8950368,-77.0365427,1953,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/823274,N,N,,,
"Goodsir, Agnes",Individual,,Gunditj Mirring Land,Portland,VIC,Australia,-38.3456231,141.6042304,1864,18/06/1894,N/A,Paris,,France,48.8588897,2.3200410217200766,1939,11/8/1939,https://www.daao.org.au/bio/agnes-goodsir/,[Born pre-1900] Y,,https://trove.nla.gov.au/people/1485689,N,N,,,
"Gothe-Snape, Agatha",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1980,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/agatha-gothe-snape/,N,,https://trove.nla.gov.au/people/1516282,N,N,,,
"Gough, Julie",Individual,Trawlwoolway People,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1965,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/julie-gough/,Y,,https://trove.nla.gov.au/people/1487631,N,N,,,
"Gower, Elizabeth",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231,1952,28/10/1952,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/elizabeth-gower/,N,,https://trove.nla.gov.au/people/461156,N,N,,,
"Greeno, Dulcie",Individual,Pakana People,Truwana,Cape Barren Island,TAS,Australia,-40.37342,148.02703,1923,,Palanwina Luruni Kanamaluka,Launceston,TAS,Australia,-41.433389,147.13926291479868,2021,14/12/2021,https://www.daao.org.au/bio/dulcie-greeno/,Y,,https://trove.nla.gov.au/people/1486399,N,N,,,
"Greeno, Lola",Individual,Pakana People,Truwana,Cape Barren Island,TAS,Australia,-40.37342,148.02703,1946,27/5/1946,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/lola-greeno/,Y,,https://trove.nla.gov.au/people/1459799,N,N,,,
"Grounds, Joan",Individual,,N/A,Atlanta,Georgia,USA,33.7489924,-84.3902644,1939,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/joan-grounds/,N,,https://trove.nla.gov.au/people/572913,N,N,,,
GW Bot,Individual,,N/A,Quetta,,Pakistan,30.1957677,67.0172447,1954,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/gw-bot/,N,,https://trove.nla.gov.au/people/1524810,N,N,,,
"Hagerty, Marie",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1964,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Hall, Fiona",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231,1953,16/11/1953,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/fiona-hall/,Y,,https://trove.nla.gov.au/people/603727,N,N,,,
"Hanrahan, Barbara",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231,1939,6/9/1939,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231426997,1991,1/12/1991,https://www.daao.org.au/bio/barbara-hanrahan/,Y,https://www.womenaustralia.info/biogs/AWE0991b.htm,https://trove.nla.gov.au/people/481455,N,N,,,
"Hanssen Pigott, Gwyn",Individual,,Ballaarat,Ballarat,VIC,Australia,-37.5623013,143.8605645,1935,1/1/1935,N/A,London,England,United Kingdom,51.5074456,-0.1277653,2013,6/7/2013,https://www.daao.org.au/bio/gwyn-hanssen-pigott/,Y,,https://trove.nla.gov.au/people/550054,N,N,,,
"Harper, Melinda",Individual,,Garramilla,Darwin,NT,Australia,-12.46044,130.8410469,1965,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/melinda-harper/,N,,https://trove.nla.gov.au/people/1519758,N,N,,,
"Hawkes, Ponch",Individual,,Carran-carramulk,Abbotsford,VIC,Australia,-37.8045508,144.9988542,1946,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/ponch-hawkes-1/,N,,https://trove.nla.gov.au/people/612096,N,N,,,
"Healy, Claire & Cordeiro, Sean",Collective,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1971,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/claire-healy/,Y,,https://trove.nla.gov.au/people/1483173,N,N,,,
"Hearman, Louise",Individual,,Wurundjeri Land,Croydon,VIC,Australia,-37.7913501,145.2814663,1963,6/9/1963,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/louise-hearman/,N,,https://trove.nla.gov.au/people/1522657,N,N,,,
"Hessing, Mona",Individual,,Kurri Kurri,Kurri Kurri,NSW,Australia,-32.8175039,151.4833649,1933,,Ngarigo Land/Walbanga Land,Driving from Tuross Head to Canberra,NSW,Australia,-35.47912804,149.8868439,2001,21/4/2001,https://www.daao.org.au/bio/mona-hessing/,Y,,https://trove.nla.gov.au/people/507911,N,N,,,
"Hester, Joy",Individual,,Boonwurrung Land,Elsternwick,VIC,Australia,-37.8858425,145.0070152,1920,21/8/1920,Wurundjeri Land,Box Hill,VIC,Australia,-37.8215116,145.1261267,1960,4/12/1960,https://www.daao.org.au/bio/joy-hester/,Y,,https://trove.nla.gov.au/people/634371,N,N,,,
"Heysen, Nora",Individual,,Bukartilla,Hahndorf,SA,Australia,-35.0288458,138.8096715,1911,11/1/1911,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348240446,2003,30/12/2003,https://www.daao.org.au/bio/nora-heysen/,Y,https://www.womenaustralia.info/biogs/AWE0596b.htm,https://trove.nla.gov.au/people/542579,N,N,,,
"Hicks, Petrina",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1972,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Hinder, Margel",Individual,,Lenape Land,New York,New York,USA,40.7127281,-74.0060152,1906,4/1/1906,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348240446,1995,29/5/1995,https://www.daao.org.au/bio/margel-ina-hinder/,Y,,https://trove.nla.gov.au/people/617457,N,N,,,
"Hinterding, Joyce",Individual,,Narrm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1958,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/joyce-hinterding/,N,,https://trove.nla.gov.au/people/1491305,N,N,,,
"Hinton-Bateup, Alice",Individual,Kamilaroi/Wonnarua People,Gadigal Land,South Sydney,NSW,Australia,-33.8679526,151.2101348,1950,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/alice-hinton-bateup/,Y,,"https://trove.nla.gov.au/people/1486083
https://trove.nla.gov.au/people/1702213",Y,N,,,
"Hosking, Marion",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1948 or 1950,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/linda-jackson/,Y,,[Not in NLA],N,Y,,,
"Hosokura, Mayumi",Individual,,N/A,Kyoto,,Japan,35.021041,135.7556075,1979,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Hughes, Natalya",Individual,,Wallamullah,Wooloomooloo,NSW,Australia,-32.494981,146.586903,1977,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/1771622,N,N,,,
"Jackson, Linda",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1950,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/linda-jackson/,Y,,"https://trove.nla.gov.au/people/608618
https://trove.nla.gov.au/people/495431",Y,N,,,
"Jerrems, Carol",Individual,,Wurundjeri Land,Ivanhoe,VIC,Australia,-37.7690312,145.0430809,1949,14/3/1949,Pur-ra-ran,Prahran,VIC,Australia,-37.8519135,145.0005993,1980,21/2/1980,https://www.daao.org.au/bio/carol-jerrems/,N,,"https://trove.nla.gov.au/people/1470900
https://trove.nla.gov.au/people/491300",N,N,,,
Jillposters,Collective,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1983,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1988,,https://www.daao.org.au/bio/group/jillposters/,[Group] N,,https://trove.nla.gov.au/people/1774277,N,N,,,
"Johnson, Helen",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1979,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/helen-johnson/,N,,"https://trove.nla.gov.au/people/1687039
https://trove.nla.gov.au/people/1687285
https://trove.nla.gov.au/people/577153
https://trove.nla.gov.au/people/1686967",Y,N,,,
"Johnson, Jess & Ward, Simon (Johnson)",Collective,,Tauranga,Tauranga,,New Zealand,-37.6859006,176.167505,1979,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Jubelin, Narelle",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1960,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/narelle-jubelin/biography/,Y,,"https://trove.nla.gov.au/people/569446
https://trove.nla.gov.au/people/520447",Y,N,,,
"Juli, Mabel",Individual,Gija People,Moola Bulla,"Moola Bulla Station, East Kimberley",WA,Australia,-17,126,1932,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/mabel-juli/,Y,,https://trove.nla.gov.au/people/1516573,N,N,,,
"Kame Kngwarreye, Emily",Individual,Anmatyrre People,,"Utopia Station, Alhalkere",NT,Australia,-22.23333,134.55,1910,,Mparntwe,Alice Springs,NT,Australia,-23.6983884,133.8812885,1996,3/8/1996,https://www.daao.org.au/bio/emily-kame-kngwarreye/,Y,"http://www.womenaustralia.info/leaders/biogs/WLE0669b.htm
https://www.womenaustralia.info/biogs/AWE5171b.htm",https://trove.nla.gov.au/people/477780,N,N,,,
"Kantilla, Kitty (Kutuwalumi Purawarrumpatu)",Individual,Tiwi People,Piripumawu,"Piripumawu, Melville Island",NT,Australia,-11.5235,131.0394,1924-8,,Garramilla,Darwin,NT,Australia,-12.46044,130.8410469,2003,4/10/2003,https://www.daao.org.au/bio/kitty-kantilla/,N,,https://trove.nla.gov.au/people/1690502,N,N,,,
"Kathryn Barton, Del",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1972,11/12/1972,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/del-kathryn-barton/,Y,,https://trove.nla.gov.au/people/1485729,N,N,,,
"Kee, Jenny",Individual,,Gadigal Land,Bondi,NSW,Australia,-33.8930556,151.2633333,1947,24/1/1947,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jenny-kee-2/,Y,,https://trove.nla.gov.au/people/485013,N,N,,,
"Ken Family Collaborative,",Collective,,Amata ,Amata ,SA,Australia,-26.1517767,131.1469813,,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/ken-family-collaborative/,[Group] N,,https://trove.nla.gov.au/people/1879480,N,N,,,
"Ken, Sandra",Individual,,Aṉangu Pitjantjatjara Yankunytjatjara Land,Amata ,SA,Australia,-26.1517767,131.1469813,1968,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/ken-family-collaborative/,[Group] N,,[Not in NLA],N,Y,,,
"Ken, Tjungkara",Individual,,Aṉangu Pitjantjatjara Yankunytjatjara Land,Amata ,SA,Australia,-26.1517767,131.1469813,1969,1/10/1969,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/ken-family-collaborative/,[Group] N,,https://trove.nla.gov.au/people/1865715,N,N,,,
"King, Inge",Individual,,N/A,Berlin,,Germany,52.5170365,13.3888599,1915 or 1918,25/11/1918,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,2016,23/4/2016,https://www.daao.org.au/bio/inge-king/,Y,,https://trove.nla.gov.au/people/633148,N,N,,,
"Klose, Anastasia",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1978,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/anastasia-klose/,N,,https://trove.nla.gov.au/people/1519210,N,N,,,
"Kngwarray, Judy Purvis",Individual,Anmatyrre People,,"Utopia Station, Alhalkere",NT,Australia,-22.23333,134.55,1962,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/judy-purvis-kngwarray/,N,,https://trove.nla.gov.au/people/1879478,N,N,,,
"Kngwarray, Lily Sandover",Individual,,Utopia Land,MacDonald Downs Station,NT,Australia,-22.40862,135.11187,1937,,,,,,,,2002,,[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Kngwarray, Rosie",Individual,Anmatyrre People,,"Utopia Station, Alhalkere",NT,Australia,-22.23333,134.55,1926,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/rosie-kngwarray/,N,,https://trove.nla.gov.au/people/1879479,N,N,,,
"Koolmatrie, Yvonne",Individual,Ngarrindjeri People,Wudinna,Wudinna,SA,Australia,-33.0472368,135.4615694,1944,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/yvonne-koolmatrie/,Y,,https://trove.nla.gov.au/people/1478499,N,N,,,
"Kunmanara, Kawiny",Individual,Pitjantjatjara People,"Katjikuta, Anangu Pitjantjatjara Yankunytjatjara Lands","Katjikuta, Anangu Pitjantjatjara Yankunytjatjara Lands",SA,Australia,,,1919 or 1921,,,,,,,,2013,1/7/2013,https://www.daao.org.au/bio/kunmanara-kawiny/,N,,https://trove.nla.gov.au/people/1879477,N,N,,,
"Lahey, Vida (Frances Vida Lahey)",Individual,,Pimpama,Pimpama,QLD,Australia,-27.8161679,153.2924022,1882,26/08/1882,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1968,29/8/1968,https://www.daao.org.au/bio/vida-lahey/,[Born pre-1900] Y,,https://trove.nla.gov.au/people/635820,N,N,,,
"Laing, Rosemary",Individual,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1959,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348240446,2024,23/5/2024,https://www.daao.org.au/bio/rosemary-laing/,Y,,"https://trove.nla.gov.au/people/1485750
https://trove.nla.gov.au/people/1501600",Y,N,,,
"Lambe, Claire",Individual,,N/A,Macclesfield,England,United Kingdom,53.2606635,-2.1255158,1962,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/claire-lambe/,N,,https://trove.nla.gov.au/people/1623213,N,N,,,
"Larter, Pat",Individual,,N/A,Essex,,United Kingdom,51.79669945,0.579337044,1936,8/7/1936,Ngambri Land,Canberra,ACT,Australia,-35.2975906,149.1012676,1996,14/10/1996,https://www.daao.org.au/bio/pat-larter/,Y,,https://trove.nla.gov.au/people/1481148,N,N,,,
"Laurence, Janet",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1947,4/3/1947,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/janet-laurence/,Y,,https://trove.nla.gov.au/people/548562,N,N,,,
"Lee, Lindy",Individual,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1954,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/lindy-lee/,Y,,https://trove.nla.gov.au/people/609421,N,N,,,
"Lewers, Darani & Larsen, Helge (Lewers)",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1936,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/darani-lewers/,N,,"https://trove.nla.gov.au/people/556463
https://trove.nla.gov.au/people/1516718",Y,N,,,
"Lewers, Margo",Individual,,Gadigal Land,Mosman,NSW,Australia,-33.8301355,151.2447663,1908,,Mulgoa Dharug Land,Emu Plains,NSW,Australia,-33.7483333,150.6677778,1978,20/2/1978,https://www.daao.org.au/bio/margo-lewers/,N,,https://trove.nla.gov.au/people/476365,N,N,,,
"Liao, Pixy",Individual,,N/A,Shanghai,,China,31.2323437,121.4691024,1979,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Lloyd, Jo",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1975,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jo-lloyd/biography/,N,,https://trove.nla.gov.au/people/1823010,N,N,,,
"Lowry, Fiona",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1974,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/fiona-lowry/,N,,https://trove.nla.gov.au/people/1540167,N,N,,,
"MacDonald, Anne",Individual,,Palanwina Luruni Kanamaluka,Launceston,TAS,Australia,-41.433389,147.1392629,1960,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/anne-macdonald/,N,,"https://trove.nla.gov.au/people/1535390
https://trove.nla.gov.au/people/909919",Y,N,,,
"MacKay, Jan",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1950,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jan-mackay-3/,Y,,https://trove.nla.gov.au/people/1519834,N,N,,,
"MacNamara, Shirley",Individual,Gija People,Kalkatungu Land,Mt Isa,QLD,Australia,-20.7289898,139.4931522,1949,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/shirley-macnamara/,Y,,"https://trove.nla.gov.au/people/1484840
https://trove.nla.gov.au/people/1809463",N,N,,,
